comparison,feature,family,short_feature,z2,z2.5,abs_diff,rel_diff,changed,z3,z3.5,z5,z5.5
z2.5_vs_z3,original_glszm_LargeAreaEmphasis,glszm,LargeAreaEmphasis,,252009.2213740458,315011.5267175572,0.5555555555555555,True,567020.748091603,,,
z2.5_vs_z3,original_glszm_LargeAreaHighGrayLevelEmphasis,glszm,LargeAreaHighGrayLevelEmphasis,,8292911.083969465,10366138.854961831,0.5555555555555555,True,18659049.938931298,,,
z2.5_vs_z3,original_glszm_LargeAreaLowGrayLevelEmphasis,glszm,LargeAreaLowGrayLevelEmphasis,,9600.929069280244,12001.161336600306,0.5555555555555556,True,21602.09040588055,,,
z2.5_vs_z3,original_glszm_LowGrayLevelZoneEmphasis,glszm,LowGrayLevelZoneEmphasis,,0.0971847875423847,0.0,0.0,False,0.0971847875423847,,,
z2.5_vs_z3,original_glszm_SizeZoneNonUniformity,glszm,SizeZoneNonUniformity,,21.748091603053435,0.0,0.0,False,21.748091603053435,,,
z2.5_vs_z3,original_glszm_SizeZoneNonUniformityNormalized,glszm,SizeZoneNonUniformityNormalized,,0.1660159664355224,0.0,0.0,False,0.1660159664355224,,,
z2.5_vs_z3,original_glszm_SmallAreaEmphasis,glszm,SmallAreaEmphasis,,0.1030255025709245,0.057236390317180294,0.5555555555555558,True,0.0457891122537442,,,
z2.5_vs_z3,original_glszm_SmallAreaHighGrayLevelEmphasis,glszm,SmallAreaHighGrayLevelEmphasis,,3.966933935046325,2.203852186136847,0.5555555555555556,True,1.7630817489094777,,,
z2.5_vs_z3,original_glszm_SmallAreaLowGrayLevelEmphasis,glszm,SmallAreaLowGrayLevelEmphasis,,0.0094957773630732,0.005275431868374,0.5555555555555556,True,0.0042203454946992,,,
z2.5_vs_z3,original_glszm_ZoneEntropy,glszm,ZoneEntropy,,5.801185001517869,0.0,0.0,False,5.801185001517869,,,
